iter,objective,step_size,null
0,6.65721375191996,0.0,false
1,6.65721375191996,0.14593091216536694,true
2,1.8922805765970945,0.14593091216536694,false
3,1.8922805765970945,0.15382373702811103,true
4,0.92425978719184,0.15382373702811103,false
5,0.92425978719184,0.26360039335781177,true
6,0.92425978719184,0.26360039335781177,true
7,0.5108726423708044,0.26360039335781177,false
8,0.5108726423708044,0.4543424653119271,true
9,0.26614205003974367,0.4543424653119271,false
10,0.26614205003974367,0.7304862736672164,true
11,0.15247808616544511,0.7304862736672164,false
12,0.15247808616544511,1.1388955554578046,true
13,0.15247808616544511,1.1388955554578046,true
14,0.15247808616544511,1.1388955554578046,true
15,0.06385384584777878,1.1388955554578046,false
16,0.06385384584777878,1.8982780687289582,true
17,0.03187434014956662,1.8982780687289582,false
18,0.03187434014956662,5.905732188456962,true
19,0.03187434014956662,5.905732188456962,true
20,0.03187434014956662,5.905732188456962,true
21,0.013530573912623727,5.905732188456962,false
22,0.013530573912623727,8.381117812868792,true
23,0.006982793944322231,8.381117812868792,false
24,0.006982793944322231,29.157912768584474,true
25,0.006982793944322231,29.157912768584474,true
26,0.006982793944322231,29.157912768584474,true
27,0.0035598778547843743,29.157912768584474,false
28,0.0035598778547843743,39.55328565881268,true
29,0.0019599214877971958,39.55328565881268,false
30,0.0019599214877971958,62.78237183302495,true
31,0.0010611830743265064,62.78237183302495,false
32,0.0010611830743265064,96.14452477050976,true
33,0.0010611830743265064,96.14452477050976,true
34,0.0010611830743265064,96.14452477050976,true
35,0.0004781123867922585,96.14452477050976,false
36,0.0004781123867922585,206.1430650128836,true
37,0.0004781123867922585,206.1430650128836,true
38,0.0004781123867922585,206.1430650128836,true
39,0.0002394780278055341,206.1430650128836,false
40,0.0002394780278055341,398.5356810726455,true
41,0.00012030194644286338,398.5356810726455,false
42,0.00012030194644286338,889.2238645928568,true
43,6.890853583272281e-5,889.2238645928568,false
44,6.890853583272281e-5,2091.9961301611293,true
45,6.890853583272281e-5,2091.9961301611293,true
46,6.890853583272281e-5,2091.9961301611293,true
47,3.201988075149704e-5,2091.9961301611293,false
48,1.675720404730463e-5,3549.346062564725,false
49,7.816382996275168e-6,29208.503882141507,false
50,7.816382996275168e-6,31149.957851508203,true
51,7.816382996275168e-6,31149.957851508203,true
52,4.1262224842788765e-6,31149.957851508203,false
53,4.1262224842788765e-6,49874.09482388547,true
54,1.9804826540753058e-6,49874.09482388547,false
55,1.9804826540753058e-6,74424.44830423467,true
56,1.9804826540753058e-6,74424.44830423467,true
57,1.9804826540753058e-6,74424.44830423467,true
58,1.0641643658490374e-6,74424.44830423467,false
59,1.0641643658490374e-6,121417.8855301301,true
60,6.237409931937276e-7,121417.8855301301,false
61,6.237409931937276e-7,231112.96784658552,true
62,2.1854551126834086e-7,231112.96784658552,false
63,2.1854551126834086e-7,675264.6171122513,true
64,1.2097023317531907e-7,675264.6171122513,false
65,1.2097023317531907e-7,1.4577025902106033e6,true
66,1.2097023317531907e-7,1.4577025902106033e6,true
67,1.2097023317531907e-7,1.4577025902106033e6,true
68,5.263020145893452e-8,1.4577025902106033e6,false
69,5.263020145893452e-8,2.2578883613237683e6,true
70,2.5831769188983763e-8,2.2578883613237683e6,false
71,2.5831769188983763e-8,3.751131243465933e6,true
72,2.5831769188983763e-8,3.751131243465933e6,true
73,2.5831769188983763e-8,3.751131243465933e6,true
74,2.5831769188983763e-8,3.751131243465933e6,true
75,2.5831769188983763e-8,3.751131243465933e6,true
76,1.3207895662590166e-8,3.751131243465933e6,false
77,1.3207895662590166e-8,6.059565857192237e6,true
78,5.165342841733068e-9,6.059565857192237e6,false
79,5.165342841733068e-9,2.9973199918501984e7,true
80,5.165342841733068e-9,2.9973199918501984e7,true
81,5.165342841733068e-9,2.9973199918501984e7,true
82,2.2387823555373843e-9,2.9973199918501984e7,false
83,2.2387823555373843e-9,5.0183555317105964e7,true
84,1.0324915520853092e-9,5.0183555317105964e7,false
85,1.0324915520853092e-9,1.2253308866764078e8,true
86,1.0324915520853092e-9,1.2253308866764078e8,true
87,1.0324915520853092e-9,1.2253308866764078e8,true
88,5.201863473863168e-10,1.2253308866764078e8,false
89,5.201863473863168e-10,2.553605969528764e8,true
90,2.815698582007051e-10,2.553605969528764e8,false
91,2.815698582007051e-10,5.3390995042930967e8,true
92,1.3742995377672945e-10,5.3390995042930967e8,false
93,1.3742995377672945e-10,1.0354857263273745e9,true
94,5.11763710072659e-11,1.0354857263273745e9,false
95,5.11763710072659e-11,2.887535585148439e9,true
96,5.11763710072659e-11,2.887535585148439e9,true
97,5.11763710072659e-11,2.887535585148439e9,true
98,2.1178900766325038e-11,2.887535585148439e9,false
99,1.0531089669155283e-11,5.972191036112216e9,false
100,1.0531089669155283e-11,2.7402675003996456e10,true
101,5.934576679465949e-12,2.7402675003996456e10,false
102,5.934576679465949e-12,3.578249164002922e10,true
103,5.934576679465949e-12,3.578249164002922e10,true
104,5.934576679465949e-12,3.578249164002922e10,true
105,2.8691731868879617e-12,3.578249164002922e10,false
106,2.8691731868879617e-12,4.7945857339125854e10,true
107,2.8691731868879617e-12,4.7945857339125854e10,true
108,2.8691731868879617e-12,4.7945857339125854e10,true
109,1.5449294954410121e-12,4.7945857339125854e10,false
110,1.5449294954410121e-12,7.180136573755255e10,true
111,1.5449294954410121e-12,7.180136573755255e10,true
112,1.5449294954410121e-12,7.180136573755255e10,true
113,8.599858192919935e-13,7.180136573755255e10,false
114,8.599858192919935e-13,1.1990209415277362e11,true
115,4.01920292846612e-13,1.1990209415277362e11,false
116,4.01920292846612e-13,2.5549549299364978e11,true
117,1.8887599269291206e-13,2.5549549299364978e11,false
118,1.8887599269291206e-13,5.1785426865430774e11,true
119,9.960085094979017e-14,5.1785426865430774e11,false
120,9.960085094979017e-14,1.6492553211794832e12,true
121,9.960085094979017e-14,1.6492553211794832e12,true
122,9.960085094979017e-14,1.6492553211794832e12,true
123,5.351945702401716e-14,1.6492553211794832e12,false
124,5.351945702401716e-14,2.257059575286906e12,true
125,5.351945702401716e-14,2.257059575286906e12,true
126,5.351945702401716e-14,2.257059575286906e12,true
127,2.7885523993585967e-14,2.257059575286906e12,false
128,2.7885523993585967e-14,4.640625450105309e12,true
129,1.4008011404089958e-14,4.640625450105309e12,false
130,1.4008011404089958e-14,8.650604195782713e12,true
131,6.855500758799345e-15,8.650604195782713e12,false
132,6.855500758799345e-15,2.34064807201241e13,true
133,3.757979636447504e-15,2.34064807201241e13,false
134,3.757979636447504e-15,4.9409715336094305e13,true
135,3.757979636447504e-15,4.9409715336094305e13,true
136,3.757979636447504e-15,4.9409715336094305e13,true
137,3.757979636447504e-15,4.9409715336094305e13,true
138,2.2422077680440433e-15,4.9409715336094305e13,false
139,2.2422077680440433e-15,1.1068816008896606e14,true
140,2.2422077680440433e-15,1.1068816008896606e14,true
141,1.6970242172965133e-15,1.1068816008896606e14,false
142,1.6970242172965133e-15,2.0164316677043616e14,true
143,1.6970242172965133e-15,2.0164316677043616e14,true
144,1.6970242172965133e-15,2.0164316677043616e14,true
145,1.6970242172965133e-15,2.0164316677043616e14,true
146,1.6970242172965133e-15,2.0164316677043616e14,true
147,1.6970242172965133e-15,2.0164316677043616e14,true
148,1.6970242172965133e-15,2.0164316677043616e14,true
149,1.6970242172965133e-15,2.0164316677043616e14,true
150,1.6970242172965133e-15,2.0164316677043616e14,true
