iter,objective,step_size,null
103,4.1978629069991957e-10,1.0e8,true
104,4.1978629069991957e-10,1.0e8,true
105,4.1978629069991957e-10,1.0e8,true
106,4.1978629069991957e-10,1.0e8,true
107,4.1978629069991957e-10,1.0e8,true
108,4.1978629069991957e-10,1.0e8,true
109,1.3741382172205316e-10,1.0e8,false
110,1.3741382172205316e-10,1.0e8,true
111,1.3741382172205316e-10,1.0e8,true
112,1.3741382172205316e-10,1.0e8,true
113,1.3741382172205316e-10,1.0e8,true
114,1.3741382172205316e-10,1.0e8,true
115,1.3741382172205316e-10,1.0e8,true
116,5.915366486516758e-11,1.0e8,false
117,5.915366486516758e-11,1.0e8,true
118,5.915366486516758e-11,1.0e8,true
119,5.915366486516758e-11,1.0e8,true
120,5.915366486516758e-11,1.0e8,true
121,5.915366486516758e-11,1.0e8,true
122,5.915366486516758e-11,1.0e8,true
123,5.915366486516758e-11,1.0e8,true
124,5.915366486516758e-11,1.0e8,true
125,5.915366486516758e-11,1.0e8,true
126,5.915366486516758e-11,1.0e8,true
127,5.915366486516758e-11,1.0e8,true
128,5.915366486516758e-11,1.0e8,true
129,5.915366486516758e-11,1.0e8,true
130,5.915366486516758e-11,1.0e8,true
131,5.915366486516758e-11,1.0e8,true
132,5.915366486516758e-11,1.0e8,true
133,2.8392115527914087e-11,1.0e8,false
134,2.8392115527914087e-11,1.0e8,true
135,2.8392115527914087e-11,1.0e8,true
136,1.2891416445674298e-11,1.0e8,false
137,1.2891416445674298e-11,1.0e8,true
138,1.2891416445674298e-11,1.0e8,true
139,1.2891416445674298e-11,1.0e8,true
140,1.2891416445674298e-11,1.0e8,true
141,1.2891416445674298e-11,1.0e8,true
142,1.2891416445674298e-11,1.0e8,true
143,1.2891416445674298e-11,1.0e8,true
144,1.2891416445674298e-11,1.0e8,true
145,1.2891416445674298e-11,1.0e8,true
146,1.2891416445674298e-11,1.0e8,true
147,1.2891416445674298e-11,1.0e8,true
148,1.2891416445674298e-11,1.0e8,true
149,1.2891416445674298e-11,1.0e8,true
150,5.870198394526698e-12,1.0e8,false
